project_type,project_type_encoded,size_sqm,num_workers,location,location_encoded,materials,materials_encoded,complexity,budget_tnd,requested_duration,realistic_duration,artisan_experience,season,season_encoded,weather_risk,delay_risk_score,delay_risk,is_delayed
house,0,306.3,6,urban,2,standard,1,1.7,46547,87,14,10.4,winter,0,0.8,0.116,LOW,0
renovation,1,472.9,6,suburban,1,standard,1,1.4,191102,107,14,6.3,autumn,3,0.3,0.0,LOW,0
commercial,2,210.6,2,suburban,1,standard,1,4.1,145212,111,53,13.9,spring,1,0.1,0.156,LOW,0
landscaping,3,420.2,1,suburban,1,premium,2,4.2,119073,64,110,5.9,winter,0,0.8,0.865,HIGH,1
renovation,1,419.6,5,suburban,1,premium,2,5.0,144078,12,88,1.9,autumn,3,0.3,0.854,HIGH,1
house,0,97.5,3,urban,2,premium,2,3.6,177208,18,19,5.6,winter,0,0.8,0.244,LOW,0
renovation,1,285.8,4,urban,2,premium,2,1.2,169897,102,9,12.2,spring,1,0.1,0.016,LOW,0
landscaping,3,66.5,5,suburban,1,standard,1,3.9,182067,50,6,0.6,autumn,3,0.3,0.309,LOW,0
house,0,169.8,1,rural,0,standard,1,4.8,15441,62,82,14.1,spring,1,0.1,0.695,HIGH,1
landscaping,3,290.7,5,rural,0,standard,1,3.8,42208,60,21,12.1,summer,2,0.1,0.011,LOW,0
renovation,1,399.7,4,urban,2,premium,2,2.0,85743,38,27,4.9,winter,0,0.8,0.24,LOW,0
house,0,318.3,5,rural,0,premium,2,1.4,140328,117,31,2.6,autumn,3,0.3,0.263,LOW,1
commercial,2,396.8,7,rural,0,premium,2,4.4,29676,100,97,14.5,autumn,3,0.3,0.521,MEDIUM,1
renovation,1,488.3,6,suburban,1,premium,2,4.7,106593,72,59,8.2,autumn,3,0.3,0.17,LOW,0
house,0,389.6,1,rural,0,standard,1,2.7,19108,108,107,10.0,spring,1,0.1,0.414,MEDIUM,0
renovation,1,378.5,6,rural,0,basic,0,4.6,191744,110,37,6.1,winter,0,0.8,0.196,LOW,0
landscaping,3,192.7,4,suburban,1,standard,1,3.4,123232,98,11,14.6,autumn,3,0.3,0.091,LOW,0
commercial,2,91.7,3,urban,2,basic,0,3.0,39788,35,13,4.0,winter,0,0.8,0.239,LOW,0
renovation,1,431.9,2,rural,0,basic,0,2.0,173106,27,45,0.8,summer,2,0.1,0.675,HIGH,1
house,0,97.1,5,suburban,1,standard,1,4.5,179181,11,13,7.7,autumn,3,0.3,0.442,MEDIUM,1
house,0,476.0,2,urban,2,standard,1,4.0,103540,30,91,6.6,spring,1,0.1,0.485,MEDIUM,0
renovation,1,485.5,1,urban,2,premium,2,1.6,43155,40,58,6.2,autumn,3,0.3,0.744,HIGH,1
landscaping,3,296.9,3,suburban,1,standard,1,3.4,35025,53,20,8.7,winter,0,0.8,0.32,LOW,0
house,0,168.8,4,rural,0,premium,2,4.3,141070,32,57,2.8,summer,2,0.1,0.739,HIGH,1
renovation,1,282.1,7,rural,0,basic,0,2.8,122200,100,19,3.5,spring,1,0.1,0.119,LOW,0
house,0,381.0,7,urban,2,standard,1,1.4,168357,106,13,13.4,winter,0,0.8,0.23,LOW,0
renovation,1,495.3,6,rural,0,premium,2,2.5,60995,45,40,6.8,summer,2,0.1,0.0,LOW,1
commercial,2,467.6,3,rural,0,basic,0,4.4,194707,14,128,4.3,winter,0,0.8,0.681,HIGH,1
landscaping,3,318.4,6,rural,0,basic,0,2.9,198786,24,13,9.2,summer,2,0.1,0.0,LOW,1
renovation,1,183.8,2,suburban,1,premium,2,2.8,54099,35,22,8.9,summer,2,0.1,0.0,LOW,0
house,0,246.7,5,rural,0,standard,1,4.9,182734,60,46,10.6,summer,2,0.1,0.248,LOW,0
commercial,2,78.5,3,suburban,1,basic,0,3.1,116559,53,9,12.7,autumn,3,0.3,0.117,LOW,0
house,0,247.0,2,suburban,1,standard,1,2.2,14754,33,26,14.4,spring,1,0.1,0.307,LOW,0
house,0,148.6,7,urban,2,standard,1,2.0,14642,113,11,2.0,summer,2,0.1,0.327,LOW,1
landscaping,3,280.8,2,urban,2,basic,0,2.0,6756,90,9,9.2,spring,1,0.1,0.302,LOW,0
house,0,269.5,2,rural,0,premium,2,3.4,63118,65,70,12.0,winter,0,0.8,0.123,LOW,0
landscaping,3,280.0,7,urban,2,premium,2,4.2,89188,111,19,13.3,summer,2,0.1,0.288,LOW,0
landscaping,3,149.0,1,urban,2,standard,1,3.2,68761,79,18,11.8,summer,2,0.1,0.126,LOW,0
commercial,2,292.2,6,rural,0,premium,2,4.0,142658,46,67,9.2,autumn,3,0.3,0.628,HIGH,1
landscaping,3,72.1,5,suburban,1,basic,0,2.7,154028,9,5,7.0,spring,1,0.1,0.053,LOW,1
commercial,2,50.3,4,rural,0,basic,0,4.0,190857,58,10,4.9,winter,0,0.8,0.389,MEDIUM,1
house,0,31.5,2,suburban,1,premium,2,3.3,98413,44,6,12.5,winter,0,0.8,0.093,LOW,0
renovation,1,176.2,2,urban,2,standard,1,2.6,190849,29,13,7.7,autumn,3,0.3,0.0,LOW,0
house,0,285.5,3,suburban,1,standard,1,3.3,118760,45,59,1.6,spring,1,0.1,0.436,MEDIUM,1
house,0,39.4,7,urban,2,basic,0,4.9,27983,105,5,3.3,summer,2,0.1,0.398,MEDIUM,1
commercial,2,498.7,4,rural,0,standard,1,4.4,89644,28,115,9.1,summer,2,0.1,0.586,MEDIUM,1
commercial,2,169.5,4,rural,0,basic,0,4.6,180688,98,33,13.6,summer,2,0.1,0.085,LOW,1
commercial,2,222.6,7,suburban,1,premium,2,4.6,6923,58,47,8.2,winter,0,0.8,0.544,MEDIUM,0
renovation,1,451.0,4,rural,0,standard,1,4.5,98965,74,57,9.6,summer,2,0.1,0.142,LOW,0
landscaping,3,434.1,3,suburban,1,basic,0,2.3,40855,106,25,1.8,spring,1,0.1,0.305,LOW,0
landscaping,3,127.9,6,rural,0,premium,2,2.3,68418,38,9,3.5,autumn,3,0.3,0.21,LOW,1
commercial,2,381.7,7,suburban,1,standard,1,3.1,151616,97,42,14.0,winter,0,0.8,0.199,LOW,1
commercial,2,216.7,4,urban,2,premium,2,4.5,31232,95,50,7.7,summer,2,0.1,0.211,LOW,0
house,0,299.3,4,rural,0,premium,2,4.8,132453,92,79,8.1,summer,2,0.1,0.152,LOW,0
commercial,2,290.9,7,rural,0,basic,0,1.9,76821,98,18,10.6,summer,2,0.1,0.146,LOW,0
house,0,389.4,3,suburban,1,standard,1,3.3,179389,78,67,4.2,spring,1,0.1,0.166,LOW,0
landscaping,3,353.1,4,rural,0,premium,2,4.4,198555,75,47,6.2,winter,0,0.8,0.252,LOW,0
commercial,2,450.5,4,urban,2,standard,1,2.5,187239,58,45,8.3,winter,0,0.8,0.035,LOW,0
commercial,2,421.3,2,suburban,1,basic,0,1.2,176999,8,24,10.8,autumn,3,0.3,0.415,MEDIUM,1
renovation,1,151.7,6,suburban,1,standard,1,3.8,24343,118,15,4.2,summer,2,0.1,0.206,LOW,0
renovation,1,134.7,7,urban,2,standard,1,2.7,142530,50,8,3.2,spring,1,0.1,0.117,LOW,0
house,0,478.5,7,suburban,1,basic,0,1.6,185304,118,21,4.8,spring,1,0.1,0.151,LOW,0
house,0,405.4,4,suburban,1,premium,2,3.9,18328,72,98,3.8,winter,0,0.8,0.792,HIGH,1
landscaping,3,442.9,4,urban,2,basic,0,1.1,150189,116,7,5.9,spring,1,0.1,0.0,LOW,0
commercial,2,107.9,7,suburban,1,premium,2,1.3,76931,25,6,9.6,summer,2,0.1,0.118,LOW,0
commercial,2,84.6,7,rural,0,basic,0,2.3,151202,56,6,13.5,spring,1,0.1,0.009,LOW,0
renovation,1,476.6,4,urban,2,basic,0,1.0,52254,84,10,5.3,autumn,3,0.3,0.0,LOW,1
landscaping,3,155.9,2,urban,2,premium,2,1.7,147614,71,10,3.1,winter,0,0.8,0.257,LOW,0
house,0,430.6,4,suburban,1,basic,0,1.6,160715,63,26,3.5,winter,0,0.8,0.235,LOW,0
commercial,2,135.6,5,suburban,1,basic,0,2.6,124207,103,15,3.8,winter,0,0.8,0.185,LOW,0
commercial,2,302.4,4,rural,0,premium,2,4.3,39066,27,147,0.7,summer,2,0.1,0.895,HIGH,1
renovation,1,314.9,2,suburban,1,basic,0,3.9,60550,23,32,9.9,spring,1,0.1,0.197,LOW,0
commercial,2,189.4,1,suburban,1,premium,2,1.7,187235,111,45,10.7,summer,2,0.1,0.105,LOW,0
landscaping,3,326.5,1,urban,2,basic,0,1.5,189920,8,14,9.2,summer,2,0.1,0.504,MEDIUM,1
renovation,1,233.8,4,rural,0,standard,1,4.6,57650,21,37,4.9,winter,0,0.8,0.78,HIGH,1
house,0,403.3,2,urban,2,premium,2,3.0,65863,35,69,13.8,winter,0,0.8,0.571,MEDIUM,1
renovation,1,70.0,6,urban,2,standard,1,1.9,180009,80,5,5.5,summer,2,0.1,0.067,LOW,0
commercial,2,415.1,3,rural,0,premium,2,3.7,43255,68,157,4.2,summer,2,0.1,0.614,HIGH,1
renovation,1,358.6,6,rural,0,basic,0,2.4,168262,118,16,14.2,summer,2,0.1,0.029,LOW,0
commercial,2,60.0,3,urban,2,standard,1,2.5,156396,72,6,11.8,winter,0,0.8,0.044,LOW,0
renovation,1,150.4,5,rural,0,standard,1,3.8,117582,105,21,2.8,winter,0,0.8,0.274,LOW,0
house,0,343.2,4,suburban,1,basic,0,1.2,191154,15,11,10.6,winter,0,0.8,0.081,LOW,0
landscaping,3,464.6,1,suburban,1,basic,0,1.4,194002,27,35,1.4,autumn,3,0.3,0.622,HIGH,1
commercial,2,288.0,6,suburban,1,standard,1,1.2,115554,12,12,9.9,spring,1,0.1,0.005,LOW,1
house,0,251.5,2,suburban,1,premium,2,3.1,112258,92,50,12.9,spring,1,0.1,0.127,LOW,1
house,0,470.8,6,urban,2,standard,1,3.8,101182,20,49,9.6,winter,0,0.8,0.589,MEDIUM,0
landscaping,3,291.7,1,suburban,1,premium,2,4.1,104604,25,64,9.3,autumn,3,0.3,0.82,HIGH,1
landscaping,3,189.6,1,rural,0,basic,0,3.7,89327,88,45,1.1,spring,1,0.1,0.411,MEDIUM,1
commercial,2,203.3,2,suburban,1,standard,1,3.9,199869,13,62,4.6,spring,1,0.1,0.642,HIGH,1
commercial,2,172.9,3,suburban,1,standard,1,4.3,83995,20,37,14.0,autumn,3,0.3,0.555,MEDIUM,0
house,0,212.0,4,rural,0,standard,1,3.1,140436,25,27,9.9,winter,0,0.8,0.077,LOW,0
commercial,2,150.7,5,suburban,1,standard,1,1.4,167719,94,8,9.4,spring,1,0.1,0.0,LOW,0
commercial,2,131.5,3,suburban,1,premium,2,4.8,161070,85,41,9.0,spring,1,0.1,0.268,LOW,0
house,0,316.1,5,suburban,1,premium,2,1.6,131279,107,31,2.7,winter,0,0.8,0.166,LOW,0
commercial,2,409.2,1,urban,2,premium,2,4.6,172514,50,229,8.3,winter,0,0.8,0.692,HIGH,1
commercial,2,68.3,4,urban,2,standard,1,2.1,144776,36,5,10.3,autumn,3,0.3,0.0,LOW,0
landscaping,3,224.8,2,rural,0,premium,2,4.3,86957,108,50,3.8,spring,1,0.1,0.261,LOW,0
renovation,1,169.5,3,suburban,1,standard,1,2.7,194005,8,12,13.6,winter,0,0.8,0.42,MEDIUM,0
commercial,2,39.5,2,rural,0,premium,2,2.0,68135,93,9,5.1,autumn,3,0.3,0.048,LOW,0
landscaping,3,57.3,3,urban,2,standard,1,4.6,196428,37,6,3.0,spring,1,0.1,0.314,LOW,0
renovation,1,68.0,3,urban,2,premium,2,4.8,185519,75,10,10.7,winter,0,0.8,0.291,LOW,1
landscaping,3,178.1,3,rural,0,premium,2,4.0,179924,81,22,13.4,autumn,3,0.3,0.063,LOW,0
commercial,2,301.1,7,urban,2,basic,0,3.9,32397,87,30,14.2,autumn,3,0.3,0.179,LOW,0
renovation,1,377.9,2,suburban,1,standard,1,4.8,148648,34,59,10.7,winter,0,0.8,0.581,MEDIUM,1
house,0,293.7,4,urban,2,premium,2,2.4,63478,46,29,13.6,autumn,3,0.3,0.006,LOW,0
commercial,2,149.3,6,suburban,1,premium,2,3.6,124855,15,37,3.0,winter,0,0.8,0.699,HIGH,1
house,0,422.8,7,rural,0,basic,0,4.0,105980,45,46,8.7,winter,0,0.8,0.287,LOW,0
renovation,1,307.9,7,urban,2,basic,0,1.9,111233,16,7,9.8,autumn,3,0.3,0.155,LOW,0
commercial,2,197.8,4,suburban,1,premium,2,2.0,176046,85,22,7.3,autumn,3,0.3,0.152,LOW,0
renovation,1,120.9,2,rural,0,premium,2,1.1,179602,93,11,1.1,summer,2,0.1,0.341,LOW,0
commercial,2,246.4,2,urban,2,premium,2,4.4,95859,103,78,12.6,summer,2,0.1,0.113,LOW,0
landscaping,3,31.2,5,urban,2,standard,1,2.7,21698,83,5,14.2,winter,0,0.8,0.102,LOW,0
house,0,464.3,3,urban,2,premium,2,4.9,177998,69,158,2.3,autumn,3,0.3,0.818,HIGH,1
renovation,1,246.7,1,suburban,1,basic,0,1.2,80351,85,18,2.9,summer,2,0.1,0.263,LOW,0
house,0,283.5,5,rural,0,premium,2,4.2,197700,80,62,7.0,summer,2,0.1,0.194,LOW,0
house,0,205.0,1,suburban,1,basic,0,4.0,22350,108,55,10.9,spring,1,0.1,0.27,LOW,0
landscaping,3,134.1,5,urban,2,premium,2,2.3,104311,97,5,8.5,autumn,3,0.3,0.051,LOW,1
commercial,2,482.9,2,urban,2,standard,1,2.2,108566,42,59,8.4,autumn,3,0.3,0.279,LOW,0
landscaping,3,58.8,3,suburban,1,premium,2,2.3,79416,15,5,6.0,spring,1,0.1,0.048,LOW,0
renovation,1,391.6,3,suburban,1,basic,0,2.8,131101,115,23,11.3,spring,1,0.1,0.057,LOW,0
landscaping,3,129.4,7,suburban,1,standard,1,2.3,141537,14,6,0.7,spring,1,0.1,0.172,LOW,1
commercial,2,63.8,6,urban,2,basic,0,2.4,194017,105,6,2.0,spring,1,0.1,0.168,LOW,0
house,0,167.4,1,rural,0,premium,2,3.1,96028,39,109,0.9,winter,0,0.8,0.867,HIGH,1
renovation,1,297.7,5,urban,2,standard,1,4.3,83636,22,24,11.4,autumn,3,0.3,0.168,LOW,0
renovation,1,126.3,3,rural,0,basic,0,3.6,11776,113,11,11.0,autumn,3,0.3,0.397,MEDIUM,1
landscaping,3,240.5,6,urban,2,premium,2,2.6,173895,81,13,5.2,autumn,3,0.3,0.116,LOW,0
renovation,1,106.2,2,suburban,1,premium,2,2.0,133826,102,9,14.8,autumn,3,0.3,0.133,LOW,1
landscaping,3,131.6,6,suburban,1,standard,1,1.1,135798,40,5,2.8,spring,1,0.1,0.013,LOW,0
renovation,1,411.8,4,suburban,1,premium,2,4.0,89541,25,49,12.6,winter,0,0.8,0.542,MEDIUM,1
landscaping,3,114.4,5,urban,2,basic,0,4.8,19016,93,7,5.2,summer,2,0.1,0.227,LOW,0
landscaping,3,184.7,6,urban,2,premium,2,3.3,48964,57,10,7.5,summer,2,0.1,0.027,LOW,1
house,0,367.5,7,rural,0,premium,2,2.4,114528,48,38,8.5,autumn,3,0.3,0.15,LOW,1
commercial,2,331.8,7,rural,0,premium,2,2.3,43891,106,42,12.0,autumn,3,0.3,0.147,LOW,0
house,0,495.4,7,rural,0,premium,2,3.1,184186,61,69,9.8,summer,2,0.1,0.382,MEDIUM,0
landscaping,3,127.2,5,urban,2,basic,0,3.5,41791,53,5,12.6,winter,0,0.8,0.095,LOW,0
renovation,1,472.3,4,suburban,1,premium,2,3.5,164799,7,50,11.5,winter,0,0.8,0.66,HIGH,1
commercial,2,460.3,3,urban,2,basic,0,2.0,28379,34,38,6.1,summer,2,0.1,0.388,MEDIUM,1
house,0,340.7,5,suburban,1,standard,1,4.3,62309,119,50,6.8,autumn,3,0.3,0.214,LOW,0
commercial,2,237.4,1,suburban,1,standard,1,2.7,24877,93,67,13.8,summer,2,0.1,0.193,LOW,0
commercial,2,360.2,3,rural,0,basic,0,1.0,129112,38,18,12.0,summer,2,0.1,0.032,LOW,0
commercial,2,325.0,3,rural,0,premium,2,1.1,94973,17,28,8.4,autumn,3,0.3,0.514,MEDIUM,0
renovation,1,265.9,1,urban,2,basic,0,1.7,88044,97,24,3.8,summer,2,0.1,0.173,LOW,1
house,0,193.6,6,suburban,1,standard,1,4.4,112986,117,25,14.8,winter,0,0.8,0.246,LOW,0
renovation,1,453.3,5,urban,2,basic,0,1.1,78483,14,9,4.5,summer,2,0.1,0.065,LOW,0
commercial,2,317.8,7,rural,0,premium,2,2.0,120791,50,35,10.3,summer,2,0.1,0.051,LOW,1
commercial,2,154.3,7,suburban,1,basic,0,4.0,153797,77,26,2.1,winter,0,0.8,0.308,LOW,0
renovation,1,162.4,7,urban,2,premium,2,2.0,154282,116,10,2.6,spring,1,0.1,0.249,LOW,1
landscaping,3,327.9,2,suburban,1,basic,0,1.2,124950,56,8,6.9,summer,2,0.1,0.051,LOW,0
renovation,1,179.4,5,suburban,1,basic,0,3.9,13255,70,15,4.9,winter,0,0.8,0.547,MEDIUM,1
commercial,2,222.8,2,rural,0,basic,0,2.7,43546,8,36,11.0,spring,1,0.1,0.439,MEDIUM,0
landscaping,3,168.9,1,suburban,1,standard,1,1.6,143153,27,11,12.1,spring,1,0.1,0.157,LOW,0
landscaping,3,57.5,3,urban,2,premium,2,4.8,157024,119,6,10.1,spring,1,0.1,0.136,LOW,0
renovation,1,392.9,1,urban,2,premium,2,3.3,50221,107,140,0.8,summer,2,0.1,0.751,HIGH,1
house,0,328.7,3,urban,2,standard,1,1.5,168200,52,17,12.5,winter,0,0.8,0.032,LOW,0
house,0,464.1,1,rural,0,standard,1,1.7,115335,14,112,2.8,autumn,3,0.3,0.648,HIGH,1
landscaping,3,379.2,2,suburban,1,standard,1,4.4,104454,22,41,13.1,spring,1,0.1,0.533,MEDIUM,1
landscaping,3,474.8,6,urban,2,premium,2,4.4,121345,43,41,6.2,autumn,3,0.3,0.131,LOW,0
landscaping,3,310.9,4,suburban,1,basic,0,1.5,26556,37,6,14.5,autumn,3,0.3,0.094,LOW,0
house,0,199.6,4,suburban,1,standard,1,4.0,77502,85,28,14.1,autumn,3,0.3,0.097,LOW,0
commercial,2,149.3,1,urban,2,premium,2,4.7,186928,44,135,1.4,winter,0,0.8,0.967,HIGH,1
house,0,93.6,4,urban,2,premium,2,2.8,150139,35,10,10.8,summer,2,0.1,0.134,LOW,0
landscaping,3,177.3,2,urban,2,premium,2,3.4,139283,59,20,5.6,summer,2,0.1,0.073,LOW,0
commercial,2,235.0,7,suburban,1,standard,1,2.6,7138,82,27,5.0,winter,0,0.8,0.478,MEDIUM,1
commercial,2,328.0,7,urban,2,premium,2,4.1,139157,26,58,7.0,autumn,3,0.3,0.757,HIGH,1
landscaping,3,486.2,2,urban,2,premium,2,4.3,15403,21,61,9.1,spring,1,0.1,0.798,HIGH,1
renovation,1,303.1,7,urban,2,standard,1,4.4,62904,32,24,6.5,spring,1,0.1,0.125,LOW,0
commercial,2,225.5,3,urban,2,basic,0,4.7,78263,18,38,8.2,winter,0,0.8,0.671,HIGH,1
house,0,152.3,6,rural,0,standard,1,2.8,140484,35,17,5.8,winter,0,0.8,0.0,LOW,0
house,0,33.6,5,urban,2,standard,1,2.8,69344,47,5,14.7,summer,2,0.1,0.003,LOW,1
renovation,1,268.7,7,urban,2,standard,1,2.7,69794,43,19,1.9,summer,2,0.1,0.183,LOW,0
renovation,1,481.1,1,rural,0,basic,0,2.9,167170,115,82,6.6,winter,0,0.8,0.232,LOW,0
house,0,418.4,2,urban,2,premium,2,3.5,9869,107,90,6.7,spring,1,0.1,0.39,MEDIUM,1
house,0,138.4,4,urban,2,basic,0,4.6,174521,45,25,1.7,winter,0,0.8,0.455,MEDIUM,1
renovation,1,345.9,1,suburban,1,premium,2,3.7,56180,16,129,3.6,spring,1,0.1,0.782,HIGH,1
house,0,57.5,3,urban,2,basic,0,1.6,165442,66,5,10.7,summer,2,0.1,0.0,LOW,0
commercial,2,371.3,6,suburban,1,premium,2,3.3,27457,42,67,6.1,winter,0,0.8,0.842,HIGH,1
landscaping,3,301.1,7,suburban,1,standard,1,4.6,136742,97,21,6.3,summer,2,0.1,0.262,LOW,0
commercial,2,471.9,7,rural,0,basic,0,4.9,160780,49,78,8.4,summer,2,0.1,0.619,HIGH,1
house,0,55.1,1,suburban,1,standard,1,1.4,94428,27,8,5.0,summer,2,0.1,0.287,LOW,0
house,0,190.2,6,suburban,1,standard,1,2.4,26306,60,20,2.8,spring,1,0.1,0.078,LOW,0
landscaping,3,49.8,2,rural,0,standard,1,4.7,75483,35,6,11.2,spring,1,0.1,0.186,LOW,0
landscaping,3,96.3,7,rural,0,premium,2,4.7,83630,93,16,0.8,autumn,3,0.3,0.423,MEDIUM,0
house,0,298.1,2,rural,0,premium,2,2.3,54226,21,54,14.5,autumn,3,0.3,0.42,MEDIUM,0
renovation,1,86.1,5,urban,2,premium,2,1.5,81627,112,5,13.6,winter,0,0.8,0.131,LOW,0
landscaping,3,362.8,2,urban,2,standard,1,2.8,24884,64,22,7.5,winter,0,0.8,0.32,LOW,0
house,0,269.3,3,rural,0,basic,0,1.5,173712,109,21,3.1,summer,2,0.1,0.155,LOW,1
landscaping,3,349.2,7,rural,0,standard,1,3.1,48436,90,27,2.3,spring,1,0.1,0.28,LOW,0
house,0,149.2,2,rural,0,premium,2,1.3,14067,49,20,4.3,autumn,3,0.3,0.081,LOW,0
commercial,2,77.1,5,rural,0,premium,2,4.2,106503,87,31,1.8,summer,2,0.1,0.367,MEDIUM,1
landscaping,3,101.2,1,urban,2,basic,0,4.8,116517,20,14,7.7,autumn,3,0.3,0.28,LOW,0
landscaping,3,197.1,5,suburban,1,standard,1,3.6,134435,58,13,5.4,winter,0,0.8,0.203,LOW,0
renovation,1,278.3,5,rural,0,standard,1,4.6,70551,119,32,12.3,autumn,3,0.3,0.232,LOW,0
house,0,101.0,6,urban,2,premium,2,1.9,132964,22,9,2.4,summer,2,0.1,0.124,LOW,0
commercial,2,360.6,4,urban,2,standard,1,4.2,73531,92,88,2.4,autumn,3,0.3,0.198,LOW,1
house,0,432.1,2,urban,2,premium,2,1.8,194115,105,62,3.7,winter,0,0.8,0.316,LOW,0
commercial,2,217.3,7,urban,2,standard,1,2.2,164730,31,23,1.4,winter,0,0.8,0.24,LOW,0
landscaping,3,63.5,7,suburban,1,premium,2,2.1,95494,34,5,6.6,spring,1,0.1,0.196,LOW,1
renovation,1,366.4,3,urban,2,basic,0,3.8,9386,82,26,10.6,autumn,3,0.3,0.384,MEDIUM,1
renovation,1,87.7,6,suburban,1,premium,2,3.0,177677,116,8,4.4,autumn,3,0.3,0.15,LOW,0
house,0,219.4,4,urban,2,premium,2,2.1,54168,89,19,8.9,summer,2,0.1,0.0,LOW,0
landscaping,3,448.2,2,rural,0,premium,2,1.2,37862,33,24,5.9,autumn,3,0.3,0.04,LOW,1
renovation,1,499.3,3,rural,0,basic,0,4.7,47076,32,74,4.9,spring,1,0.1,0.949,HIGH,1
house,0,477.0,3,urban,2,premium,2,1.1,70658,111,24,11.3,spring,1,0.1,0.158,LOW,0
landscaping,3,225.5,6,suburban,1,basic,0,2.2,125292,104,7,5.8,summer,2,0.1,0.0,LOW,1
landscaping,3,123.2,6,urban,2,standard,1,2.1,189782,31,5,2.2,winter,0,0.8,0.231,LOW,0
house,0,240.1,2,suburban,1,basic,0,2.1,116295,82,20,13.0,summer,2,0.1,0.087,LOW,0
house,0,109.0,3,suburban,1,basic,0,4.7,180770,100,16,8.5,spring,1,0.1,0.154,LOW,1
landscaping,3,291.8,7,urban,2,premium,2,1.6,129028,10,7,15.0,spring,1,0.1,0.085,LOW,0
renovation,1,432.4,1,rural,0,basic,0,3.1,114405,81,101,3.5,spring,1,0.1,0.441,MEDIUM,0
landscaping,3,356.8,5,urban,2,basic,0,4.1,37038,67,16,11.5,autumn,3,0.3,0.342,LOW,0
house,0,487.7,5,rural,0,premium,2,1.8,150301,112,56,4.3,spring,1,0.1,0.086,LOW,0
house,0,221.5,5,rural,0,premium,2,2.9,92624,10,41,4.5,winter,0,0.8,0.706,HIGH,1
commercial,2,421.7,5,rural,0,standard,1,2.2,67855,89,44,9.1,spring,1,0.1,0.0,LOW,1
house,0,48.0,5,rural,0,basic,0,1.0,13343,54,5,13.4,autumn,3,0.3,0.073,LOW,0
renovation,1,231.8,5,rural,0,basic,0,1.9,82863,71,8,13.1,autumn,3,0.3,0.0,LOW,0
commercial,2,473.8,4,urban,2,premium,2,3.8,26801,115,92,13.1,autumn,3,0.3,0.408,MEDIUM,1
commercial,2,341.2,2,rural,0,premium,2,1.2,6996,87,39,8.0,spring,1,0.1,0.37,MEDIUM,1
commercial,2,101.1,3,rural,0,basic,0,4.9,64671,11,38,1.1,spring,1,0.1,0.692,HIGH,1
commercial,2,210.5,7,rural,0,basic,0,2.2,114515,26,15,10.7,summer,2,0.1,0.102,LOW,0
renovation,1,374.1,4,suburban,1,basic,0,3.3,88822,114,25,6.6,summer,2,0.1,0.129,LOW,0
renovation,1,374.4,3,suburban,1,basic,0,2.9,175046,117,36,1.5,winter,0,0.8,0.315,LOW,1
renovation,1,396.7,4,rural,0,premium,2,2.5,77826,94,35,13.5,autumn,3,0.3,0.096,LOW,0
renovation,1,105.4,4,rural,0,standard,1,3.8,193556,29,11,14.1,winter,0,0.8,0.069,LOW,0
house,0,143.1,2,rural,0,basic,0,1.9,71859,37,12,11.5,winter,0,0.8,0.042,LOW,1
commercial,2,338.7,4,suburban,1,premium,2,4.6,41755,19,113,4.7,autumn,3,0.3,0.798,HIGH,1
renovation,1,469.9,7,rural,0,basic,0,4.5,43808,36,38,12.1,summer,2,0.1,0.514,MEDIUM,1
landscaping,3,280.6,2,suburban,1,basic,0,4.5,128636,52,38,1.9,spring,1,0.1,0.295,LOW,0
house,0,309.0,6,urban,2,basic,0,2.7,107716,69,28,1.4,autumn,3,0.3,0.311,LOW,1
house,0,177.7,7,urban,2,standard,1,4.7,76176,117,21,13.3,summer,2,0.1,0.262,LOW,0
landscaping,3,86.4,6,rural,0,premium,2,2.4,159482,95,5,13.7,spring,1,0.1,0.0,LOW,1
renovation,1,471.1,3,rural,0,premium,2,1.3,9065,104,25,10.7,winter,0,0.8,0.423,MEDIUM,1
commercial,2,252.9,2,urban,2,premium,2,3.5,165994,114,93,2.7,spring,1,0.1,0.287,LOW,0
landscaping,3,95.1,4,urban,2,premium,2,3.0,47254,83,5,7.3,spring,1,0.1,0.0,LOW,1
commercial,2,480.5,4,rural,0,basic,0,2.2,114274,40,44,9.2,winter,0,0.8,0.05,LOW,0
renovation,1,60.2,1,urban,2,standard,1,2.3,62684,9,7,7.5,autumn,3,0.3,0.142,LOW,1
renovation,1,355.2,3,rural,0,premium,2,4.9,137829,50,80,6.3,winter,0,0.8,0.771,HIGH,1
house,0,497.9,4,urban,2,standard,1,2.9,88827,36,50,6.5,summer,2,0.1,0.281,LOW,0
renovation,1,445.4,6,suburban,1,standard,1,4.7,197891,97,66,1.2,summer,2,0.1,0.373,MEDIUM,0
landscaping,3,375.2,6,rural,0,basic,0,1.9,24195,10,15,2.0,winter,0,0.8,0.977,HIGH,1
renovation,1,241.7,6,rural,0,basic,0,1.1,95845,94,5,8.0,autumn,3,0.3,0.079,LOW,1
house,0,352.5,5,rural,0,basic,0,2.6,41193,106,27,8.0,autumn,3,0.3,0.071,LOW,1
commercial,2,460.5,4,suburban,1,basic,0,1.5,51724,58,28,5.9,summer,2,0.1,0.0,LOW,0
renovation,1,183.8,5,rural,0,standard,1,1.6,138357,49,12,1.2,spring,1,0.1,0.249,LOW,1
house,0,427.8,5,rural,0,premium,2,1.4,142469,37,29,13.8,autumn,3,0.3,0.174,LOW,1
